CustomerID,State,PlanType,InternetType,Contract,TenureMonths,MonthlyRecharge,TotalSpend,DataUsageGB,CallMinutes,CustomerServiceCalls,NetworkComplaints,Churn
BSNL551038,Karnataka,Prepaid,3G,Monthly,35,358.56,12555.48,3.29,156,0,0,No
BSNL278811,Telangana,Prepaid,None,Monthly,68,432.77,29491.97,28.58,277,3,0,Yes
BSNL349599,Andhra Pradesh,Prepaid,4G,Monthly,15,165.84,2549.31,9.87,1381,1,0,No
BSNL995582,Telangana,Postpaid,3G,Monthly,71,184.14,12877.34,20.35,1116,0,1,No
BSNL643838,Kerala,Prepaid,Broadband,Monthly,58,649.61,37710.55,19.38,493,3,0,No
BSNL503253,Maharashtra,Postpaid,4G,Annual,51,1194.68,61056.24,40.52,80,0,0,No
BSNL259395,Andhra Pradesh,Prepaid,4G,Two Year,45,152.11,6876.42,12.14,1012,3,0,No
BSNL351872,Tamil Nadu,Postpaid,4G,Monthly,66,412.06,27004.02,30.46,81,1,0,No
BSNL174413,Telangana,Postpaid,Broadband,Annual,18,549.93,10062.73,43.05,1146,2,0,No
BSNL550236,Tamil Nadu,Prepaid,4G,Monthly,55,238.05,13117.66,4.74,1227,1,4,Yes
BSNL346631,Telangana,Postpaid,4G,Monthly,46,484.9,22501.57,2.99,930,1,4,Yes
BSNL985891,Karnataka,Prepaid,3G,Monthly,6,1104.32,6627.32,44.0,1862,3,1,Yes
BSNL471454,Andhra Pradesh,Prepaid,3G,Two Year,50,555.4,27653.46,46.76,1155,1,0,No
BSNL539754,Telangana,Postpaid,Broadband,Monthly,22,995.93,21995.16,29.35,1756,3,1,Yes
BSNL188979,Tamil Nadu,Postpaid,4G,Monthly,37,904.46,33391.06,17.52,1321,1,3,Yes
BSNL509842,Andhra Pradesh,Postpaid,4G,Monthly,69,430.9,29720.35,6.41,510,1,0,No
BSNL936029,Kerala,Prepaid,None,Monthly,12,610.83,7265.33,27.69,643,4,1,Yes
BSNL626941,Andhra Pradesh,Prepaid,4G,Annual,71,444.9,31687.44,16.19,486,0,0,No
BSNL981001,Telangana,Prepaid,4G,Monthly,33,985.21,32631.45,44.18,518,0,0,No
BSNL922325,Kerala,Prepaid,3G,Two Year,29,1117.39,32249.9,6.22,865,0,0,No
BSNL867165,Andhra Pradesh,Prepaid,3G,Annual,40,944.43,37712.33,41.33,1832,3,5,Yes
BSNL880450,Andhra Pradesh,Prepaid,Broadband,Monthly,30,834.08,24897.45,41.0,843,1,0,No
BSNL907856,Kerala,Postpaid,Broadband,Two Year,41,502.76,20448.82,26.13,1806,2,0,Yes
BSNL630023,Telangana,Postpaid,None,Monthly,57,181.36,10515.39,7.28,1518,2,1,Yes
BSNL346425,Maharashtra,Prepaid,4G,Annual,53,666.56,35249.63,25.67,193,0,1,No
BSNL250952,Telangana,Prepaid,4G,Monthly,66,806.93,53061.63,37.75,1271,1,2,Yes
BSNL270779,Maharashtra,Postpaid,Broadband,Monthly,22,461.74,10119.47,13.3,1368,2,2,Yes
BSNL777420,Kerala,Prepaid,4G,Monthly,18,1191.02,21443.34,3.74,1410,1,0,No
BSNL345761,Telangana,Prepaid,Broadband,Monthly,2,1034.77,2217.96,4.98,1009,1,0,No
BSNL844182,Telangana,Prepaid,3G,Monthly,22,1190.16,26048.77,49.93,89,3,3,Yes
BSNL913306,Maharashtra,Prepaid,None,Monthly,52,790.69,41299.04,46.23,163,0,1,No
BSNL529889,Kerala,Prepaid,4G,Annual,35,764.5,26566.37,16.59,365,3,1,Yes
BSNL401219,Tamil Nadu,Prepaid,Broadband,Two Year,49,811.04,39665.61,9.82,1241,2,4,Yes
BSNL916634,Karnataka,Postpaid,4G,Monthly,24,1097.76,26416.42,29.08,473,1,0,No
BSNL893411,Karnataka,Prepaid,3G,Monthly,14,869.25,12297.24,37.13,125,2,3,Yes
BSNL843099,Telangana,Postpaid,4G,Monthly,54,945.62,51011.34,42.8,1145,3,2,Yes
BSNL443515,Telangana,Prepaid,4G,Two Year,41,983.22,40299.0,49.35,1449,2,0,No
BSNL308670,Tamil Nadu,Prepaid,4G,Annual,18,774.49,13783.48,11.37,1217,2,1,No
BSNL139459,Telangana,Prepaid,4G,Monthly,64,1196.88,76771.66,6.93,1869,0,1,Yes
BSNL853126,Maharashtra,Prepaid,Broadband,Monthly,36,1139.34,40909.03,1.7,171,0,0,No
BSNL967250,Karnataka,Prepaid,Broadband,Monthly,67,402.59,27047.24,41.75,1378,1,1,No
BSNL934798,Telangana,Prepaid,4G,Annual,19,393.96,7580.34,10.46,302,0,0,No
BSNL119994,Karnataka,Prepaid,4G,Monthly,38,169.13,6616.15,45.11,1476,2,1,Yes
BSNL681756,Telangana,Prepaid,Broadband,Two Year,54,302.52,16396.03,9.96,1096,5,2,Yes
BSNL747299,Telangana,Prepaid,None,Monthly,63,279.87,17699.14,38.31,1299,1,0,No
BSNL478464,Maharashtra,Postpaid,4G,Annual,64,1042.91,66748.41,34.67,363,0,0,No
BSNL643417,Tamil Nadu,Prepaid,3G,Two Year,15,1111.83,16794.88,40.18,1989,1,0,No
BSNL428727,Telangana,Prepaid,Broadband,Monthly,25,975.9,24466.2,22.82,1202,4,0,Yes
BSNL868795,Tamil Nadu,Prepaid,4G,Annual,50,563.69,28347.89,35.18,1303,1,0,No
BSNL690022,Telangana,Prepaid,None,Monthly,51,225.87,11339.55,43.48,1408,1,1,No
BSNL394741,Telangana,Prepaid,None,Monthly,8,685.17,5405.65,31.79,681,5,3,Yes
BSNL295131,Maharashtra,Postpaid,4G,Two Year,43,1009.37,43351.55,15.57,841,4,0,Yes
BSNL771182,Maharashtra,Prepaid,3G,Monthly,49,725.48,35499.7,35.21,348,1,1,No
BSNL863535,Telangana,Prepaid,Broadband,Annual,29,377.13,10917.91,29.49,1162,3,1,Yes
BSNL746916,Kerala,Postpaid,4G,Annual,11,1091.94,12117.18,13.02,1767,3,2,Yes
BSNL200257,Karnataka,Postpaid,None,Annual,47,797.88,37394.22,11.22,589,1,1,Yes
BSNL641780,Kerala,Postpaid,Broadband,Monthly,50,844.85,42420.09,47.92,1958,5,2,Yes
BSNL562939,Karnataka,Postpaid,3G,Monthly,53,304.83,16085.74,27.5,958,0,1,No
BSNL544277,Andhra Pradesh,Prepaid,4G,Annual,54,1026.91,55432.96,34.45,286,0,1,No
BSNL979500,Kerala,Postpaid,4G,Monthly,64,560.51,35827.81,8.63,616,1,0,No
BSNL711858,Maharashtra,Prepaid,None,Monthly,45,1182.22,53194.83,19.74,1652,1,0,No
BSNL646358,Telangana,Prepaid,4G,Monthly,59,392.36,23057.0,31.89,506,3,3,Yes
BSNL472013,Kerala,Prepaid,Broadband,Monthly,66,782.25,51620.04,1.8,699,4,2,Yes
BSNL224799,Tamil Nadu,Prepaid,4G,Monthly,42,879.54,37088.62,12.0,1995,3,4,Yes
BSNL955357,Andhra Pradesh,Prepaid,Broadband,Monthly,4,464.77,2052.93,25.56,1307,1,0,No
BSNL208485,Andhra Pradesh,Prepaid,4G,Monthly,46,1091.33,50043.57,15.59,1204,3,3,Yes
BSNL814159,Kerala,Prepaid,4G,Monthly,32,877.33,28089.54,20.88,1378,2,1,Yes
BSNL578213,Maharashtra,Prepaid,Broadband,Two Year,65,1182.73,76886.89,20.2,1431,3,0,No
BSNL200614,Tamil Nadu,Prepaid,Broadband,Monthly,55,340.82,18763.88,24.1,276,1,1,No
BSNL861374,Maharashtra,Prepaid,3G,Annual,3,677.44,2164.22,1.73,1056,0,0,No
BSNL375539,Maharashtra,Prepaid,4G,Annual,37,312.06,11518.17,7.04,1654,0,1,Yes
BSNL523868,Tamil Nadu,Prepaid,4G,Two Year,42,384.18,16252.78,23.27,800,0,1,No
BSNL608552,Tamil Nadu,Prepaid,4G,Monthly,41,570.79,23274.35,14.88,1536,1,1,No
BSNL779790,Kerala,Postpaid,4G,Monthly,19,998.41,19086.27,47.39,1627,2,3,Yes
BSNL765275,Kerala,Postpaid,4G,Annual,59,439.76,25897.26,3.48,1068,2,2,Yes
BSNL115506,Kerala,Prepaid,4G,Two Year,67,895.16,59850.65,9.06,1091,2,1,Yes
BSNL136749,Tamil Nadu,Prepaid,None,Monthly,16,870.98,13802.86,45.04,1137,6,3,Yes
BSNL401338,Tamil Nadu,Prepaid,4G,Monthly,50,1034.0,51788.32,29.79,1806,1,0,No
BSNL140423,Andhra Pradesh,Prepaid,3G,Annual,26,709.7,18410.79,37.46,1053,1,0,No
BSNL140768,Telangana,Prepaid,3G,Monthly,39,998.87,38948.86,46.31,1185,1,1,No
BSNL439657,Maharashtra,Postpaid,3G,Annual,17,1121.92,19068.51,29.44,441,1,1,No
BSNL826401,Telangana,Prepaid,4G,Two Year,55,1192.21,65613.71,21.7,415,2,1,No
BSNL342574,Tamil Nadu,Postpaid,4G,Monthly,7,1074.73,7478.58,6.27,1792,2,0,No
BSNL394845,Maharashtra,Prepaid,4G,Annual,58,161.86,9502.75,8.71,1352,6,2,Yes
BSNL347958,Karnataka,Postpaid,Broadband,Monthly,22,1047.58,22932.15,37.26,217,2,0,No
BSNL731664,Karnataka,Prepaid,4G,Monthly,25,682.74,16881.56,41.94,707,1,0,No
BSNL910751,Maharashtra,Postpaid,None,Monthly,47,670.72,31518.19,10.98,1798,3,1,Yes
BSNL564792,Karnataka,Prepaid,Broadband,Monthly,5,482.28,2287.11,14.75,1720,0,0,No
BSNL546404,Karnataka,Postpaid,4G,Monthly,51,1063.56,54241.26,35.61,793,1,1,Yes
BSNL729059,Kerala,Postpaid,4G,Monthly,32,680.27,21889.05,6.44,1929,2,3,No
BSNL356140,Telangana,Postpaid,None,Monthly,8,1013.83,8085.8,33.13,818,3,7,Yes
BSNL528927,Andhra Pradesh,Prepaid,4G,Monthly,40,439.5,17767.31,16.5,493,2,1,No
BSNL107618,Telangana,Prepaid,None,Annual,41,1087.28,44429.88,46.18,932,3,0,No
BSNL961434,Maharashtra,Prepaid,4G,Monthly,71,540.21,38534.28,27.2,739,1,0,No
BSNL673263,Karnataka,Postpaid,4G,Monthly,12,840.18,10103.17,20.31,1444,2,3,Yes
BSNL906720,Karnataka,Postpaid,3G,Annual,37,743.25,27530.3,18.76,1848,0,1,No
BSNL277627,Maharashtra,Prepaid,3G,Monthly,16,310.27,4977.88,21.46,1414,2,1,No
BSNL760975,Maharashtra,Postpaid,4G,Monthly,48,857.03,41284.17,46.74,755,2,3,Yes
BSNL451611,Telangana,Postpaid,3G,Annual,61,817.06,49931.26,9.48,1989,2,3,Yes
BSNL306513,Telangana,Postpaid,4G,Monthly,38,217.63,8220.6,19.95,1452,4,1,Yes
BSNL927395,Tamil Nadu,Postpaid,Broadband,Monthly,59,438.56,25894.39,6.23,1232,3,1,Yes
BSNL738110,Maharashtra,Prepaid,4G,Monthly,22,260.17,5582.14,25.66,1050,1,1,No
BSNL227502,Maharashtra,Prepaid,3G,Monthly,3,269.96,842.57,4.23,1658,2,0,No
BSNL710081,Telangana,Prepaid,4G,Monthly,1,970.05,868.91,9.34,1242,0,2,Yes
BSNL208749,Telangana,Prepaid,None,Monthly,69,293.32,20432.56,46.59,625,2,1,No
BSNL867754,Maharashtra,Prepaid,Broadband,Monthly,41,526.09,21763.94,48.08,833,4,1,Yes
BSNL725213,Telangana,Postpaid,4G,Annual,20,346.61,6856.74,36.34,1299,1,0,No
BSNL990756,Kerala,Prepaid,4G,Monthly,5,945.02,4706.56,47.28,622,0,0,No
BSNL358151,Tamil Nadu,Postpaid,Broadband,Annual,11,542.6,6100.29,19.54,565,0,0,No
BSNL843545,Karnataka,Prepaid,Broadband,Annual,20,376.08,7643.13,29.45,267,1,1,No
BSNL668294,Andhra Pradesh,Prepaid,4G,Monthly,62,653.67,40584.65,37.64,1850,4,0,Yes
BSNL472856,Maharashtra,Prepaid,3G,Monthly,39,1155.95,45162.78,18.03,145,8,2,Yes
BSNL119092,Kerala,Postpaid,4G,Two Year,11,388.2,4459.37,22.54,1784,2,1,Yes
BSNL929834,Karnataka,Postpaid,3G,Monthly,9,914.97,8090.77,8.76,1892,2,0,No
BSNL325853,Karnataka,Prepaid,Broadband,Monthly,36,1137.12,40797.73,31.43,1408,1,2,No
BSNL471970,Andhra Pradesh,Postpaid,4G,Annual,11,480.65,5120.24,16.54,857,3,2,No
BSNL493696,Andhra Pradesh,Prepaid,4G,Annual,52,233.77,12147.25,28.4,639,1,0,No
BSNL484404,Karnataka,Postpaid,4G,Two Year,53,967.15,51073.21,18.88,493,2,3,Yes
BSNL773601,Kerala,Prepaid,None,Two Year,28,259.35,7378.07,35.39,940,3,3,Yes
BSNL305817,Kerala,Postpaid,Broadband,Monthly,4,252.24,954.13,4.0,973,1,1,No
BSNL648649,Tamil Nadu,Prepaid,None,Two Year,32,952.07,30655.73,23.66,216,4,2,Yes
BSNL608075,Karnataka,Prepaid,3G,Monthly,31,1091.7,33646.92,49.3,315,2,1,No
BSNL746487,Andhra Pradesh,Postpaid,Broadband,Monthly,10,1117.81,11197.09,20.74,306,1,1,No
BSNL909206,Telangana,Prepaid,4G,Annual,38,436.97,16743.5,28.41,1730,0,3,Yes
BSNL702857,Karnataka,Prepaid,3G,Monthly,56,277.53,15473.13,25.88,133,2,1,No
BSNL160578,Maharashtra,Prepaid,None,Monthly,60,1112.73,66903.98,7.71,1755,0,0,No
BSNL853067,Maharashtra,Postpaid,Broadband,Monthly,41,877.47,35966.54,15.02,1776,1,2,Yes
BSNL303605,Andhra Pradesh,Postpaid,4G,Two Year,20,1028.63,20390.84,31.94,749,3,0,Yes
BSNL820029,Karnataka,Prepaid,3G,Monthly,18,844.74,15340.93,11.19,911,2,0,No
BSNL985299,Tamil Nadu,Prepaid,4G,Monthly,45,843.58,38120.85,46.63,1707,0,1,No
BSNL272761,Tamil Nadu,Postpaid,4G,Monthly,23,288.66,6834.34,26.14,1827,0,0,No
BSNL354888,Andhra Pradesh,Prepaid,4G,Monthly,64,514.21,33071.36,13.9,1828,1,1,No
BSNL716896,Telangana,Prepaid,3G,Two Year,66,474.53,31254.8,9.24,1684,1,0,No
BSNL463160,Kerala,Postpaid,3G,Monthly,52,1090.91,56543.72,4.61,750,3,0,No
BSNL133528,Karnataka,Prepaid,Broadband,Monthly,64,782.79,50182.74,23.06,1157,3,1,Yes
BSNL485523,Telangana,Postpaid,4G,Monthly,34,538.37,18478.73,32.76,116,2,0,No
BSNL924975,Tamil Nadu,Prepaid,4G,Monthly,42,1025.51,42913.33,9.45,549,0,0,No
BSNL725934,Maharashtra,Prepaid,4G,Annual,57,1174.58,67123.53,49.5,1652,0,0,No
BSNL323782,Andhra Pradesh,Postpaid,Broadband,Monthly,60,1103.1,66249.5,6.46,320,2,1,No
BSNL617936,Telangana,Postpaid,Broadband,Monthly,9,386.92,3488.26,1.14,1160,0,1,No
BSNL409626,Telangana,Prepaid,Broadband,Two Year,31,283.7,8853.71,44.22,1375,3,4,Yes
BSNL786786,Telangana,Prepaid,Broadband,Annual,58,822.28,47636.31,27.47,67,2,0,No
BSNL258409,Maharashtra,Prepaid,Broadband,Monthly,48,692.59,33378.46,27.8,1872,6,2,Yes
